name,distances,is_reference,out_type
rectangle,14,reference,0
square,18,reference,0
isoTrapezoid,7,reference,0
parallelogram,7,reference,0
losange,11,reference,0
kite,3,reference,0
rightKite,5,reference,0
rustedHinge,8,reference,0
hinge,7,reference,0
trapezoid,5,reference,0
random,2,reference,0
rectangle,5,outlier,1
square,7,outlier,1
isoTrapezoid,2,outlier,1
parallelogram,2,outlier,1
losange,7,outlier,1
kite,3,outlier,1
rightKite,3,outlier,1
rustedHinge,5,outlier,1
hinge,5,outlier,1
trapezoid,4,outlier,1
random,2,outlier,1
rectangle,7,outlier,2
square,7,outlier,2
isoTrapezoid,6,outlier,2
parallelogram,6,outlier,2
losange,3,outlier,2
kite,3,outlier,2
rightKite,7,outlier,2
rustedHinge,4,outlier,2
hinge,3,outlier,2
trapezoid,9,outlier,2
random,5,outlier,2
rectangle,6,outlier,3
square,7,outlier,3
isoTrapezoid,2,outlier,3
parallelogram,1,outlier,3
losange,3,outlier,3
kite,3,outlier,3
rightKite,3,outlier,3
rustedHinge,9,outlier,3
hinge,12,outlier,3
trapezoid,3,outlier,3
random,5,outlier,3
rectangle,7,outlier,4
square,7,outlier,4
isoTrapezoid,4,outlier,4
parallelogram,5,outlier,4
losange,3,outlier,4
kite,9,outlier,4
rightKite,8,outlier,4
rustedHinge,5,outlier,4
hinge,2,outlier,4
trapezoid,2,outlier,4
random,1,outlier,4
