,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.06936701712257723,0.10868439083673884,0.19999263984975169,0.33941845750185257,0.0519627099425097,0.03971477384486043,0.1468372687746146,0.1112052686143323,0.10731021584916571,0.23466208015115705
rectangle,0.06936701712257723,0.0,0.20578733758749043,0.1386315170856361,0.30727888127524317,0.10723860951355788,0.11088830250333707,0.1320863673056823,0.07471383827061291,0.15518185819815428,0.2756380882182662
isoTrapezoid,0.10868439083673884,0.20578733758749043,0.0,0.22536991490692365,0.28106967604544153,0.0837339252476878,0.06864877549920839,0.16856419993512806,0.16804819723778938,0.07834229861408654,0.13016693271134902
parallelogram,0.19999263984975169,0.1386315170856361,0.22536991490692365,0.0,0.07658811042102334,0.18676768074658717,0.1825348588620062,0.14302338516013435,0.11015723929114596,0.11560259221795595,0.2043117074011711
losange,0.33941845750185257,0.30727888127524317,0.28106967604544153,0.07658811042102334,0.0,0.3029575602116411,0.29436113320680013,0.2139178546341618,0.20902598408160056,0.15411201419377266,0.18025754625974927
kite,0.0519627099425097,0.10723860951355788,0.0837339252476878,0.18676768074658717,0.3029575602116411,0.0,0.030698955833395478,0.15477327270204033,0.13775773492426294,0.13823045703428874,0.23310775824988306
rightKite,0.03971477384486043,0.11088830250333707,0.06864877549920839,0.1825348588620062,0.29436113320680013,0.030698955833395478,0.0,0.157779276299164,0.1379079781923109,0.08398925214035094,0.21435348478787844
rustedHinge,0.1468372687746146,0.1320863673056823,0.16856419993512806,0.14302338516013435,0.2139178546341618,0.15477327270204033,0.157779276299164,0.0,0.011116893523186473,0.1195537148800277,0.16652482306491573
hinge,0.1112052686143323,0.07471383827061291,0.16804819723778938,0.11015723929114596,0.20902598408160056,0.13775773492426294,0.1379079781923109,0.011116893523186473,0.0,0.10676432491031461,0.1700387930108532
trapezoid,0.10731021584916571,0.15518185819815428,0.07834229861408654,0.11560259221795595,0.15411201419377266,0.13823045703428874,0.08398925214035094,0.1195537148800277,0.10676432491031461,0.0,0.06769281271360561
random,0.23466208015115705,0.2756380882182662,0.13016693271134902,0.2043117074011711,0.18025754625974927,0.23310775824988306,0.21435348478787844,0.16652482306491573,0.1700387930108532,0.06769281271360561,0.0
