,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.003345670827065184,0.0015980516929207803,0.005334702616659397,0.008309312464485002,0.0006761244899765482,9.31603979063884e-05,0.0037655242191310793,0.0035554677655079444,0.002092153227116334,0.004894940525905515
rectangle,0.003345670827065184,0.0,0.0073097270707746485,0.00187191012382833,0.005080898716845053,0.00460335393969188,0.004230758378172457,0.0023329255584040695,0.001109229841610741,0.0045012174313861135,0.007526037040332836
isoTrapezoid,0.0015980516929207803,0.0073097270707746485,0.0,0.007658048614487675,0.008700008600106866,0.002419739302773684,0.0018567799426137388,0.007304413233236767,0.007298122584560588,0.002635306262401754,0.004246762533590442
parallelogram,0.005334702616659397,0.00187191012382833,0.007658048614487675,0.0,0.0021603978385377268,0.006590668300947648,0.005225422016997532,0.003946046580055102,0.002808992365426018,0.003937459354234629,0.006792429905027586
losange,0.008309312464485002,0.005080898716845053,0.008700008600106866,0.0021603978385377268,0.0,0.008770991951786872,0.007932287884097876,0.0048075348846340505,0.00443655585669134,0.004622646845486674,0.004865700566382521
kite,0.0006761244899765482,0.00460335393969188,0.002419739302773684,0.006590668300947648,0.008770991951786872,0.0,0.0006205007438673974,0.0059528049406047355,0.005802031481483428,0.004087385684129162,0.0064398768984408414
rightKite,9.31603979063884e-05,0.004230758378172457,0.0018567799426137388,0.005225422016997532,0.007932287884097876,0.0006205007438673974,0.0,0.005304319820141371,0.005053248295874253,0.0019347346179914339,0.00559383639631404
rustedHinge,0.0037655242191310793,0.0023329255584040695,0.007304413233236767,0.003946046580055102,0.0048075348846340505,0.0059528049406047355,0.005304319820141371,0.0,-8.496322346046241e-06,0.004807569206425066,0.006030738330395079
hinge,0.0035554677655079444,0.001109229841610741,0.007298122584560588,0.002808992365426018,0.00443655585669134,0.005802031481483428,0.005053248295874253,-8.496322346046241e-06,0.0,0.004409697621703709,0.006240136858654301
trapezoid,0.002092153227116334,0.0045012174313861135,0.002635306262401754,0.003937459354234629,0.004622646845486674,0.004087385684129162,0.0019347346179914339,0.004807569206425066,0.004409697621703709,0.0,0.0017792286930410238
random,0.004894940525905515,0.007526037040332836,0.004246762533590442,0.006792429905027586,0.004865700566382521,0.0064398768984408414,0.00559383639631404,0.006030738330395079,0.006240136858654301,0.0017792286930410238,0.0
