,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.006206568278590452,0.018669646067112744,0.03092251639194865,0.07144353605959286,0.006276383077046033,0.0046847865683473655,0.022414329510542563,0.014357348507977208,0.015202075874906518,0.04142468292287704
rectangle,0.006206568278590452,0.0,0.025713490547576434,0.028287726745500286,0.0698850229342316,0.012099679173030897,0.012718184828185874,0.020840480590628374,0.01125733496430259,0.019264296138636894,0.04098603289892755
isoTrapezoid,0.018669646067112744,0.025713490547576434,0.0,0.018176427590131494,0.03892013509928749,0.008104303951095293,0.008212110753088031,0.015122172149616198,0.014545377478052401,0.00457894230922451,0.014580924075507262
parallelogram,0.03092251639194865,0.028287726745500286,0.018176427590131494,0.0,0.013651497508382349,0.01409435036914275,0.01961383947205797,0.009186532793909574,0.011753760131303137,0.0065735487197180476,0.014589770010567271
losange,0.07144353605959286,0.0698850229342316,0.03892013509928749,0.013651497508382349,0.0,0.044032282384160015,0.05083121892823783,0.029934594164743644,0.0388699543456662,0.02590501358109898,0.020018940189300838
kite,0.006276383077046033,0.012099679173030897,0.008104303951095293,0.01409435036914275,0.044032282384160015,0.0,0.0020849268728149184,0.010967726829453794,0.008366334575060752,0.0046821821076237224,0.02158633180737035
rightKite,0.0046847865683473655,0.012718184828185874,0.008212110753088031,0.01961383947205797,0.05083121892823783,0.0020849268728149184,0.0,0.01522678040425185,0.011929548965553316,0.005031432286271231,0.028552015053480484
rustedHinge,0.022414329510542563,0.020840480590628374,0.015122172149616198,0.009186532793909574,0.029934594164743644,0.010967726829453794,0.01522678040425185,0.0,0.001854110056500713,0.008376727725959321,0.017690253308506043
hinge,0.014357348507977208,0.01125733496430259,0.014545377478052401,0.011753760131303137,0.0388699543456662,0.008366334575060752,0.011929548965553316,0.001854110056500713,0.0,0.007905630092580385,0.020182135413646884
trapezoid,0.015202075874906518,0.019264296138636894,0.00457894230922451,0.0065735487197180476,0.02590501358109898,0.0046821821076237224,0.005031432286271231,0.008376727725959321,0.007905630092580385,0.0,0.011333333302662618
random,0.04142468292287704,0.04098603289892755,0.014580924075507262,0.014589770010567271,0.020018940189300838,0.02158633180737035,0.028552015053480484,0.017690253308506043,0.020182135413646884,0.011333333302662618,0.0
