,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.03907934726625351,0.11693315573122103,0.12812604541895511,0.2721898624094294,0.06050456538802429,0.05875439695024068,0.20943514190658596,0.12002641360834537,0.09993753354781612,0.21416777155170302
rectangle,0.03907934726625351,0.0,0.17024437105900175,0.1027265054162984,0.2819502625238558,0.09294883888845473,0.09855710235004611,0.20052376461170124,0.09576926438744275,0.12571692989766597,0.25063753056432553
isoTrapezoid,0.11693315573122103,0.17024437105900175,0.0,0.15228591722362975,0.2229208190061891,0.0702934923032887,0.046293378460420774,0.19329829368865786,0.14965512629705577,0.056295622961209955,0.12694765871729344
parallelogram,0.12812604541895511,0.1027265054162984,0.15228591722362975,0.0,0.08151462421698906,0.1200741409648169,0.12398777475758284,0.16736749581778,0.09548956030720902,0.06273976626004482,0.13170010163995083
losange,0.2721898624094294,0.2819502625238558,0.2229208190061891,0.08151462421698906,0.0,0.2252349174601769,0.23066883381009484,0.2555094862324496,0.21387409047714398,0.10255454542159656,0.117762370124981
kite,0.06050456538802429,0.09294883888845473,0.0702934923032887,0.1200741409648169,0.2252349174601769,0.0,0.03112130059624282,0.18026447609512258,0.11288406526962687,0.0866312487258712,0.16001097068009415
rightKite,0.05875439695024068,0.09855710235004611,0.046293378460420774,0.12398777475758284,0.23066883381009484,0.03112130059624282,0.0,0.15312176918300863,0.09991871393693369,0.05410363921875339,0.16091327670717553
rustedHinge,0.20943514190658596,0.20052376461170124,0.19329829368865786,0.16736749581778,0.2555094862324496,0.18026447609512258,0.15312176918300863,0.0,0.024334135162760864,0.1509077368289214,0.17923438000537442
hinge,0.12002641360834537,0.09576926438744275,0.14965512629705577,0.09548956030720902,0.21387409047714398,0.11288406526962687,0.09991871393693369,0.024334135162760864,0.0,0.10055343914096872,0.14543909805634656
trapezoid,0.09993753354781612,0.12571692989766597,0.056295622961209955,0.06273976626004482,0.10255454542159656,0.0866312487258712,0.05410363921875339,0.1509077368289214,0.10055343914096872,0.0,0.06511987553246373
random,0.21416777155170302,0.25063753056432553,0.12694765871729344,0.13170010163995083,0.117762370124981,0.16001097068009415,0.16091327670717553,0.17923438000537442,0.14543909805634656,0.06511987553246373,0.0
