,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.0016303168872328355,0.009996517873013033,0.013027466144347272,0.03570851252403384,0.00491321619884777,0.005596330518306963,0.011535519668178007,0.007114257457872475,0.008827649231617385,0.02867521039652983
rectangle,0.0016303168872328355,0.0,0.013841950884747045,0.013953118394754827,0.03834972299809636,0.007421500967329131,0.00973767571613482,0.013943261234158122,0.007989952789622473,0.012427085462102694,0.031938396289466944
isoTrapezoid,0.009996517873013033,0.013841950884747045,0.0,0.00893638880733609,0.020223791499529534,0.003258938585630755,0.00390249986803054,0.007822683501700275,0.00749707662336406,0.0031206277530820836,0.010605277406448343
parallelogram,0.013027466144347272,0.013953118394754827,0.00893638880733609,0.0,0.009492846295084512,0.006246067024290938,0.0075603419477501405,0.004639783786693941,0.004421463643273393,0.0035011947564720924,0.012477715064025896
losange,0.03570851252403384,0.03834972299809636,0.020223791499529534,0.009492846295084512,0.0,0.02255546250465111,0.024588991529971627,0.01791475031994233,0.021346260803988937,0.01580027579380422,0.013959592385840047
kite,0.00491321619884777,0.007421500967329131,0.003258938585630755,0.006246067024290938,0.02255546250465111,0.0,0.0007435599668298987,0.004339001642247875,0.0035750419837268788,0.002032437433012513,0.013116005851235846
rightKite,0.005596330518306963,0.00973767571613482,0.00390249986803054,0.0075603419477501405,0.024588991529971627,0.0007435599668298987,0.0,0.004851522369568706,0.003928320692915918,0.001954457999924941,0.016184963015920928
rustedHinge,0.011535519668178007,0.013943261234158122,0.007822683501700275,0.004639783786693941,0.01791475031994233,0.004339001642247875,0.004851522369568706,0.0,5.366172655936474e-05,0.003350507526118651,0.01068278959990343
hinge,0.007114257457872475,0.007989952789622473,0.00749707662336406,0.004421463643273393,0.021346260803988937,0.0035750419837268788,0.003928320692915918,5.366172655936474e-05,0.0,0.003491419217714342,0.01306825581020886
trapezoid,0.008827649231617385,0.012427085462102694,0.0031206277530820836,0.0035011947564720924,0.01580027579380422,0.002032437433012513,0.001954457999924941,0.003350507526118651,0.003491419217714342,0.0,0.00945432053419959
random,0.02867521039652983,0.031938396289466944,0.010605277406448343,0.012477715064025896,0.013959592385840047,0.013116005851235846,0.016184963015920928,0.01068278959990343,0.01306825581020886,0.00945432053419959,0.0
