,rectangle,rightKite,hinge,parallelogram,kite,rustedHinge,isoTrapezoid,trapezoid,random,square,losange
rectangle,0.0000,0.1524,0.0567,0.0533,0.1503,0.0761,0.0761,0.1275,0.0852,0.1533,0.1666
rightKite,0.1213,0.0000,0.1150,0.1156,0.0337,0.1097,0.0735,0.0442,0.1017,0.0497,0.0596
hinge,0.0556,0.1425,0.0000,0.0624,0.1407,0.0491,0.0615,0.1214,0.0904,0.1502,0.1644
parallelogram,0.0470,0.1292,0.0583,0.0000,0.1363,0.0793,0.0861,0.1373,0.1176,0.1400,0.1170
kite,0.1220,0.0335,0.1195,0.1120,0,0.1119,0.0808,0.0358,0.0919,0.0393,0.0642
rustedHinge,0.0734,0.1299,0.0488,0.0837,0.1345,0,0.0511,0.1151,0.0827,0.1461,0.1700
isoTrapezoid,0.0673,0.0893,0.0557,0.0843,0.0927,0.0471,0.0000,0.0680,0.0783,0.0952,0.1308
trapezoid,0.1086,0.0408,0.1059,0.1182,0.0368,0.0989,0.0641,0.0000,0.0763,0.0593,0.0544
random,0.0816,0.1080,0.0889,0.1092,0.1012,0.0808,0.0716,0.0847,0,0.1074,0.1109
square,0.1216,0.0497,0.1202,0.1161,0.0382,0.1152,0.0778,0.0622,0.1029,0.0000,0.0664
losange,0.1102,0.0479,0.1177,0.0894,0.0580,0.1201,0.0957,0.0523,0.0994,0.0502,0.0000
