"subject_id","run","onset","requested_onset","delta_onset","shape_name","pressed","shouldhavepressed","correct","rt","outlier_location","rots","dils","outlier_type","onset_press"
"204","1",6006,6000,7,"hinge","right_key","right_key",TRUE,2364,1,"[0, 2, 1, 5, 4, 3]","[1, 4, 2, 5, 3, 0]","2",8370
"204","1",10006,10000,7,"hinge","right_key","left_key",FALSE,2253,4,"[4, 1, 5, 2, 0, 3]","[3, 5, 4, 2, 1, 0]","1",12259
"204","1",14006,14000,7,"hinge","left_key","left_key",TRUE,2051,2,"[5, 3, 2, 1, 0, 4]","[5, 3, 4, 1, 0, 2]","3",16057
"204","1",18005,18000,6,"hinge","left_key","left_key",TRUE,1942,3,"[1, 0, 4, 5, 2, 3]","[0, 3, 1, 5, 2, 4]","4",19947
"204","1",22005,22000,6,"hinge","right_key","right_key",TRUE,1542,5,"[2, 1, 0, 4, 3, 5]","[5, 1, 2, 3, 4, 0]","1",23547
"204","1",30005,30000,6,"square","left_key","left_key",TRUE,1118,4,"[2, 0, 3, 5, 4, 1]","[2, 1, 4, 3, 0, 5]","4",31123
"204","1",34005,34000,6,"square","right_key","right_key",TRUE,814,0,"[1, 2, 4, 3, 5, 0]","[1, 4, 0, 5, 2, 3]","3",34819
"204","1",38005,38000,5,"square","left_key","left_key",TRUE,1460,2,"[4, 5, 2, 3, 0, 1]","[5, 2, 4, 1, 3, 0]","2",39465
"204","1",42005,42000,5,"square","right_key","right_key",TRUE,907,5,"[5, 1, 0, 2, 4, 3]","[2, 1, 3, 5, 0, 4]","1",42912
"204","1",46004,46000,5,"square","left_key","left_key",TRUE,804,3,"[5, 1, 3, 2, 4, 0]","[1, 3, 0, 2, 4, 5]","2",46808
"204","1",56004,56000,5,"losange","left_key","left_key",TRUE,1591,4,"[0, 5, 3, 4, 2, 1]","[1, 4, 0, 2, 3, 5]","1",57595
"204","1",60004,60000,5,"losange","right_key","right_key",TRUE,964,1,"[4, 5, 3, 0, 1, 2]","[2, 5, 0, 4, 1, 3]","3",60968
