,square,rectangle,isoTrapezoid,parallelogram,losange,kite,rightKite,rustedHinge,hinge,trapezoid,random
square,0.0,0.06858151086591005,0.1090098111137493,0.20112868977595755,0.3338276507267523,0.05848822679478094,0.03938494998031904,0.14605840992726996,0.1170100153478602,0.11084247772507907,0.23934855773344876
rectangle,0.06858151086591005,0.0,0.20386062333476784,0.13908622970341045,0.3033779558483194,0.11049987361389378,0.11293212608194729,0.13193495925820012,0.07717438428656363,0.15479933644858915,0.28008317537233784
isoTrapezoid,0.1090098111137493,0.20386062333476784,0.0,0.22286315371945267,0.27204392890655904,0.08959312766434031,0.06652938028174102,0.1663477266544665,0.17025136669965263,0.07611621035667399,0.133859934814224
parallelogram,0.20112868977595755,0.13908622970341045,0.22286315371945267,0.0,0.08054372564892175,0.1872453238892433,0.1827502062261227,0.14023326380536622,0.10994542326598625,0.11156830730057236,0.20503349298736226
losange,0.3338276507267523,0.3033779558483194,0.27204392890655904,0.08054372564892175,0.0,0.29699418562033086,0.29215415316489013,0.20784051667304854,0.20665725032739335,0.14223305498476188,0.18317786730637353
kite,0.05848822679478094,0.11049987361389378,0.08959312766434031,0.1872453238892433,0.29699418562033086,0.0,0.030079163236313156,0.15667935673103925,0.1414795228732351,0.1381378202210128,0.24067462968553838
rightKite,0.03938494998031904,0.11293212608194729,0.06652938028174102,0.1827502062261227,0.29215415316489013,0.030079163236313156,0.0,0.1566777866284614,0.13925025212426567,0.08267562570827577,0.2178880010900792
rustedHinge,0.14605840992726996,0.13193495925820012,0.1663477266544665,0.14023326380536622,0.20784051667304854,0.15667935673103925,0.1566777866284614,0.0,0.012120348666182591,0.11785596677750955,0.16926216255351462
hinge,0.1170100153478602,0.07717438428656363,0.17025136669965263,0.10994542326598625,0.20665725032739335,0.1414795228732351,0.13925025212426567,0.012120348666182591,0.0,0.10801902247912548,0.1729602408548818
trapezoid,0.11084247772507907,0.15479933644858915,0.07611621035667399,0.11156830730057236,0.14223305498476188,0.1381378202210128,0.08267562570827577,0.11785596677750955,0.10801902247912548,0.0,0.06853795507311757
random,0.23934855773344876,0.28008317537233784,0.133859934814224,0.20503349298736226,0.18317786730637353,0.24067462968553838,0.2178880010900792,0.16926216255351462,0.1729602408548818,0.06853795507311757,0.0
